REB_STANDARDIZED,STL_STANDARDIZED,PLUS_MINUS_NORMALIZED,AST_NORMALIZED,PTS_NORMALIZED,TRUE_SHOOTING_PCT,OFFENSIVE_RATING,STL_NORMALIZED,WL_ENCODED,IS_WEEKEND,OPPONENT_STRENGTH_SCORE,FGM_NORMALIZED,BLK_NORMALIZED,FG_EFFICIENCY,DAY_OF_WEEK,BLK_STANDARDIZED,PLUS_MINUS_STANDARDIZED,MONTH,REB_NORMALIZED,TEAM_ID_ENCODED,FGM_STANDARDIZED,AST_STANDARDIZED,PTS_STANDARDIZED
2.2057043320623695,1.8543525247229133,0.8835616438356164,0.9347826086956521,0.8416666666666667,0.7618400621118012,94.30000000000001,0.5909090909090909,1,1,1.0648473967684022,0.8571428571428572,0.30000000000000004,1.6354166666666667,6,0.44213206856841203,3.9518048278631523,4,0.640625,7,3.450911009156668,4.484002881171846,3.7508150105915696
0.23580176056896676,2.1992626326610805,0.821917808219178,0.6086956521739131,0.7333333333333333,0.7302231237322515,80.7,0.6363636363636364,1,0,1.044492362982929,0.7142857142857142,0.1,1.565217391304348,1,-1.1355546444852171,3.31669333767086,12,0.4375,12,2.1549800536459487,1.6359476700471969,2.7939832610103217
-0.2187911405448954,0.8196222009084128,0.7465753424657534,0.6739130434782608,0.6166666666666666,0.7267441860465117,75.1,0.4545454545454546,1,0,1.0476100628930818,0.6326530612244898,0.1,1.6666666666666667,0,-1.1355546444852171,2.540445960769169,12,0.390625,14,1.4144480790683949,2.205558712272127,1.7635490691535929
0.38733272760692083,0.4747120929702458,0.7328767123287672,0.8043478260869565,0.6916666666666665,0.6827111984282908,81.7,0.4090909090909091,1,1,1.0476100628930818,0.7346938775510203,0.4,1.4946236559139785,5,1.2309754250952267,2.399310074059771,12,0.453125,20,2.340113047290337,3.3447807967219862,2.4259710496329183
1.296518529834645,1.5094424167847464,0.7465753424657534,0.6521739130434783,0.775,0.6819846210179422,85.39999999999999,0.5454545454545454,1,1,1.0712848158131179,0.7551020408163265,0.25,1.49,6,0.04771039030500472,2.540445960769169,4,0.546875,8,2.5252460409347255,2.015688364863817,3.1619954723877246
0.6903946616828289,-0.5600182308442548,0.7123287671232876,0.6739130434782608,0.7000000000000001,0.6578947368421052,80.9,0.2727272727272727,1,0,1.106606334841629,0.6122448979591837,0.1,1.5384615384615385,1,-1.1355546444852171,2.1876062439956736,2,0.484375,8,1.2293150854240065,2.205558712272127,2.499573491908399
1.296518529834645,0.12980198503207893,0.7054794520547945,0.6521739130434783,0.65,0.6973355537052457,79.39999999999999,0.36363636363636365,1,0,1.0281538461538462,0.7755102040816326,0.1,1.4408602150537635,3,-1.1355546444852171,2.1170383006409743,1,0.546875,20,2.710379034579114,2.015688364863817,2.0579588382555154
0.38733272760692083,1.1645323088465795,0.6917808219178082,0.6956521739130435,0.5666666666666665,0.6402313093762908,74.2,0.5,1,1,1.0352488687782806,0.6122448979591837,0.5,1.3478260869565217,5,2.019818781622041,1.9759024139315762,4,0.453125,14,1.2293150854240065,2.3954290596804366,1.3219344155007091
0.38733272760692083,0.12980198503207893,0.684931506849315,0.7608695652173914,0.7166666666666667,0.6898561989895065,82.3,0.36363636363636365,1,1,1.0840557553956836,0.7346938775510203,0.15000000000000002,1.4947368421052631,5,-0.7411329662218099,1.9053344705768769,2,0.453125,13,2.340113047290337,2.9650401019053665,2.6467783764593604
-1.582569843886482,0.12980198503207893,0.6712328767123288,0.826086956521739,0.6166666666666666,0.7136583223539745,74.5,0.36363636363636365,1,0,1.0673830935251798,0.7551020408163265,0.30000000000000004,1.4772727272727273,0,0.44213206856841203,1.7641985838674787,3,0.25,0,2.5252460409347255,3.5346511441302964,1.7635490691535929
0.0842707935310127,-0.21510812290608797,0.6917808219178082,0.5869565217391304,0.7583333333333334,0.7124854594804187,81.30000000000001,0.3181818181818182,1,1,1.053273381294964,0.7755102040816326,0.15000000000000002,1.5154639175257731,5,-0.7411329662218099,1.9759024139315762,3,0.421875,8,2.710379034579114,1.446077322638887,3.0147905878367633
1.4480494968725992,-0.21510812290608797,0.6301369863013698,0.6086956521739131,0.6583333333333333,0.713229078613694,79.5,0.3181818181818182,1,0,1.0712848158131179,0.6122448979591837,0.45,1.6666666666666667,4,1.625397103358634,1.3407909237392839,11,0.5625,7,1.2293150854240065,1.6359476700471969,2.131561280530996
-0.2187911405448954,0.12980198503207893,0.6232876712328768,0.6739130434782608,0.6166666666666666,0.6425464610517991,75.1,0.36363636363636365,1,0,1.0632645739910314,0.653061224489796,0.35000000000000003,1.368421052631579,4,0.8365537468318194,1.2702229803845846,3,0.390625,7,1.5995810727127833,2.205558712272127,1.7635490691535929
-1.4310388768485278,-0.9049283387824217,0.6027397260273972,0.5652173913043479,0.6416666666666667,0.7129073756432247,72.4,0.2272727272727273,1,1,1.0393490054249548,0.6326530612244898,0.1,1.5113636363636365,5,-1.1355546444852171,1.0585191503204872,11,0.265625,1,1.4144480790683949,1.2562069752305771,1.9843563959800348
-1.4310388768485278,0.4747120929702458,0.5753424657534246,0.7173913043478262,0.65,0.7142857142857143,74.9,0.4090909090909091,1,0,1.0709074573225517,0.6326530612244898,0.30000000000000004,1.576470588235294,3,0.44213206856841203,0.7762473769016907,2,0.265625,6,1.4144480790683949,2.5852994070887467,2.0579588382555154
