TEAM_ABBREVIATION,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK
ATL,106.57633242999097,39.50045167118338,85.75880758807588,0.461672990063234,10.4579945799458,29.0903342366757,0.3603956639566396,17.11743450767841,22.03613369467028,0.7756233062330623,9.94308943089431,32.77416440831075,42.71725383920506,24.509485094850948,14.49683830171635,7.823848238482385,4.670280036133694
BKN,106.80082987551867,39.21784232365145,85.51970954356847,0.45968672199170124,10.800829875518673,30.116182572614107,0.356045643153527,17.564315352697097,22.91701244813278,0.7679460580912862,10.116182572614107,33.31846473029046,43.434647302904565,23.37551867219917,14.532157676348548,7.076763485477178,4.740663900414938
BOS,106.46444644464447,39.503150315031505,85.72547254725472,0.46204050405040503,10.631863186318633,29.31953195319532,0.35912961296129614,16.826282628262828,21.342934293429344,0.7895022502250224,9.922592259225922,33.486048604860486,43.40864086408641,24.19081908190819,13.828082808280827,7.738973897389739,4.895589558955896
CHA,102.81538461538462,37.89592760180995,85.35022624434389,0.44460361990950226,9.429864253393665,26.957466063348416,0.3427891402714932,17.593665158371042,23.077828054298642,0.762958371040724,10.104072398190045,32.720361990950224,42.82443438914027,22.892307692307693,13.302262443438915,6.988235294117647,5.029864253393665
CHI,103.52488687782805,38.92760180995475,85.6524886877828,0.455468778280543,8.885067873303168,24.819909502262444,0.3559764705882353,16.784615384615385,21.56289592760181,0.7779719457013574,10.780090497737557,33.45339366515837,44.23348416289593,23.32126696832579,13.963800904977376,7.341176470588235,4.838009049773755
CLE,104.3945701357466,38.63891402714932,84.65972850678733,0.45719185520361993,10.080542986425339,28.026244343891403,0.3566950226244344,17.036199095022624,22.511312217194572,0.7565004524886878,10.595475113122172,32.19638009049774,42.79185520361991,22.833484162895928,14.214479638009049,7.078733031674208,3.9592760180995477
DAL,106.32645739910313,39.11838565022421,85.0017937219731,0.46090403587443945,11.228699551569507,31.23766816143498,0.35865201793721974,16.8609865470852,21.82152466367713,0.7721174887892376,9.358744394618833,32.92017937219731,42.27892376681614,23.062780269058297,12.965022421524663,7.139910313901345,4.352466367713005
DEN,109.11141060197664,40.729559748427675,86.46810422282121,0.4720215633423181,9.921832884097036,27.581311769991014,0.3570314465408805,17.730458221024257,23.454627133872417,0.7587978436657682,11.166217430368373,33.303683737646004,44.469901168014374,25.344115004492362,14.416891284815813,7.694519317160826,4.775381850853549
DET,102.57775768535262,38.35985533453888,85.78481012658227,0.44801808318264014,9.177215189873417,26.357142857142858,0.3456907775768535,16.680831826401448,22.766726943942135,0.7354421338155516,11.44122965641953,31.853526220614828,43.294755877034355,22.112115732368895,14.180831826401446,7.268535262206148,4.340867992766727
GSW,110.6606334841629,41.25248868778281,87.04343891402715,0.4747420814479638,11.829864253393666,30.87420814479638,0.3829366515837104,16.32579185520362,20.89502262443439,0.7809837104072398,10.121266968325791,34.10135746606335,44.22262443438914,26.90135746606335,14.887782805429865,8.136651583710407,5.3583710407239815
