,TEAM_ID,GAME_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG
FTA,0.018042841292223003,-0.010301648782882165,,-0.1846483391954706,-0.24372623879998456,-0.03402649265761503,-0.11260525669613287,-0.09586533774948425,-0.06063523470717481,0.9213084152232466,1.0,-0.03935071863828279,0.07246855980633611,0.02814395585670781,0.06675188261813537,-0.15526651835227556,0.006086431457218854,0.03795019315774096,0.0036379330071786876,0.008140012228952878,0.1822341324558972,0.7575896909597402,0.227453425566428,0.05200110462314752,,-0.0964411871811785,-0.0964411871811785,-0.0964411871811785,0.06669720617895217,0.18851218336618158,0.25375699180945127,0.03393080603003763,0.11534102747054281,0.1129078674331897,0.05915204582752015,-0.897806477330886,-0.9721631953044041,0.046069100566526494,-0.06750704506166301,-0.028058036570949754,-0.06342116167102903,0.15156246629370584,0.0016610957973721494,-0.03558146953477898,-0.009146358064823768,0.011993329777172206,0.1709982771609668,-0.7395615779090405,-0.2422710779837525,-0.05904762777966116,
FT_PCT,-0.0223795104050383,0.09395944443393865,,0.02940566063748307,0.0032520348487487727,0.029735691702783656,0.05804602682911348,0.05327109377520916,0.026505139699752805,0.3330056333438549,-0.03935071863828279,1.0,-0.07405585248582369,0.0142470690262591,-0.03201508923698117,0.02293766951891974,-0.015905910378419236,-0.014148878813025501,0.011235177632786877,-0.021428028489682848,-0.003980516181911026,-0.05011757174555987,0.19103247197446668,0.1254376969396363,,-0.10836523418639593,-0.10836523418639593,-0.10836523418639593,-0.06074730343746223,-0.0020826825905220048,0.02675063038510789,-0.020941811954072614,-0.011214797686512637,0.00872004030690434,-0.02556051159670171,-0.3312338965009709,0.028929484289371907,-0.9731391102241256,0.06307998413806852,-0.0038525840911301365,0.03329989435251026,0.0022691364567371617,-0.009343322814967218,0.004707020104471233,-0.01111657956685671,-0.02361406885542124,0.002258653558176224,0.03681647091438708,-0.1654728997242585,-0.12704732712203184,
OREB,0.03131863898391629,-0.04902780794073517,,-0.00422569479542952,0.4642594321792325,-0.32513438434233244,-0.10903303904018607,0.0030150727641201493,-0.17378223758483108,0.03900448359467988,0.07246855980633611,-0.07405585248582369,1.0,-0.061535738690144406,0.5424424243593753,-0.10287573502136682,0.020226489606305183,0.025750264019808334,-0.0018524945448307748,0.18829675850296654,0.01873170159760902,0.06024280589744124,-0.021004549201957077,-0.011529332964050787,,0.030925055948765944,0.030925055948765944,0.030925055948765944,0.06466641091303989,-0.006709610894849623,-0.5085850056019484,0.31774043220472514,0.09046428539606165,-0.05161394811663891,0.17349754441418455,-0.03563424818194786,-0.06496802560700726,0.07223826521597494,-0.9663691553815031,0.0441701176721015,-0.539019018808098,0.0974796646720424,0.018851729129852897,-0.019247336543746437,0.0064642279600036455,0.1892502380091836,0.017799825537097223,-0.05378740799389139,0.003103308302973488,0.01899809254733415,
DREB,-0.01928570036422936,0.11187607491326511,,0.09238613767782339,0.11154173647482714,0.023935854463059146,0.09829237861700982,0.120461808690674,0.012400534372898732,0.029860237747259686,0.02814395585670781,0.0142470690262591,-0.061535738690144406,1.0,0.805121309013087,0.09584833435454082,0.11857058453128391,-0.15691411710425762,0.17035690398909506,-0.021486119788683172,-0.04285664687591921,-0.03374473542717861,0.11900171128119555,0.41952958688643033,,-0.3635174700170209,-0.3635174700170209,-0.3635174700170209,-0.12402860874657284,-0.05612849432751282,-0.06293449920114383,-0.025013795236297633,-0.031267888829024454,-0.03713199311080015,-0.016102180636045012,-0.037027864086324865,-0.03820705379089772,-0.009739863047735945,0.03132895786424741,-0.9658508786228895,-0.7802415124341151,-0.07475653900875183,0.11547621036899908,0.14330817975199925,-0.17644943776833955,-0.030243749344288733,-0.05305782898677728,0.030475614149263284,-0.07329891278738203,-0.42074524115410133,
REB,0.0023781287313531674,0.06503065442544502,,0.07524924951174872,0.369763167503012,-0.1730601373563455,0.017940131333840016,0.10318293422654498,-0.09283033574287287,0.04831088705652998,0.06675188261813537,-0.03201508923698117,0.5424424243593753,0.805121309013087,1.0,0.019541902105271472,0.11181876243751933,-0.11677099977379793,0.14228655589691921,0.09380816232573479,-0.02494087136214284,0.007395921836679351,0.08768065582563275,0.34626190409396634,,-0.2875915298954317,-0.2875915298954317,-0.2875915298954317,-0.06596627138212138,-0.05122977912762192,-0.3551909010117741,0.16775909253238735,0.027439354920502732,-0.061924438688398496,0.0895455291839638,-0.052341076412066145,-0.07076478234124167,0.03472867440908509,-0.5478824423016377,-0.7866976833707126,-0.9770246598615098,-0.004995730374091716,0.1083973319805955,0.10918332019282054,-0.1446741094530238,0.08700356207426475,-0.034080839350142104,-0.006311470340565884,-0.05985072266148191,-0.34284689757501335,
AST,-0.067143462548506,0.26472358289683917,,0.627674160860002,0.23010302586760284,0.5313797289625388,0.44178990612529234,0.28466742637275655,0.35142926362033106,-0.1373009557078331,-0.15526651835227556,0.02293766951891974,-0.10287573502136682,0.09584833435454082,0.019541902105271472,1.0,-0.051928902821400336,0.05242330329079574,0.06396774235694584,-0.10257377914386283,-0.023200838290136697,-0.13271096044393813,0.5838528662947917,0.356258231997407,,-0.29613058437382905,-0.29613058437382905,-0.29613058437382905,-0.16293513982354574,-0.5620181504887237,-0.1515391324253783,-0.4962393887752598,-0.35121398081850114,-0.15847844894345947,-0.34606772076604414,0.13127224911829724,0.13744560045174067,-0.0017690397000564846,0.08397801849671675,-0.07497315008113546,-0.007419892345740406,-0.939060088431785,-0.04115222871154158,-0.06812424571316265,-0.06312589708219313,-0.1130753942087645,-0.01189774161738059,0.10664519487094246,-0.515357485759053,-0.35736451138888337,
TOV,-0.011990311492492505,-0.05536286570577389,,-0.18173646980645422,-0.3514997891947051,0.04344899628746629,-0.035924785213032946,-0.06837625263515297,0.025435719493216286,-0.0014687639883225819,0.006086431457218854,-0.015905910378419236,0.020226489606305183,0.11857058453128391,0.11181876243751933,-0.051928902821400336,1.0,0.08311135697659101,0.0363088628566881,0.0033832313705805654,0.14011438059369147,0.07135551229712725,-0.15790062911116912,-0.12353306734556449,,0.10253989977023238,0.10253989977023238,0.10253989977023238,0.054203990415546875,0.1721272246423262,0.3499190984122259,-0.04524853983208666,0.007347204305393841,0.04201122839105598,-0.02491467714673645,0.0018116824344977516,-0.0016887278610706986,0.009515841431303629,-0.016745530718832894,-0.12610687990471756,-0.11478655942399257,0.040321306104497245,0.9728224853986741,-0.07840551992911016,-0.03517236157525815,0.004352018835500947,0.12988389558377536,-0.05982658691312578,0.14870643194862068,0.12115046286397313,
STL,-0.007879445697513301,-0.035240699551935255,,0.06102929111359789,0.09126138722188613,0.005328501045140931,-0.03002701373655585,-0.009063527153608785,-0.03308579840497269,0.02829746041899855,0.03795019315774096,-0.014148878813025501,0.025750264019808334,-0.15691411710425762,-0.11677099977379793,0.05242330329079574,0.08311135697659101,1.0,0.002860150474630229,0.020214497313042753,0.014541038135363936,0.021768365789215816,0.05192003361441661,0.15359197569396607,,-0.13112277233627706,-0.13112277233627706,-0.13112277233627706,0.007676764088097692,-0.07454256672964843,-0.10302071171463448,-0.012614174162531787,0.012678217944196725,-0.015753519569887155,0.03251569241811291,-0.029370698057475633,-0.037171590449620484,0.011679899190737069,-0.020272113367359613,0.1554847574631204,0.11491707229456634,-0.06312525251868804,0.07695213823503291,-0.980412573986748,-0.0009739674500844922,0.017881582565986837,0.014491897833027772,-0.01766218536663929,-0.0738908003931562,-0.15355941377000834,
BLK,0.03355884989783311,0.006507178721834002,,0.04897390612336812,0.016147454757035513,0.04296002391992997,0.012472982605944,0.0026715342985451232,0.015659827533934436,0.004878991707354421,0.0036379330071786876,0.011235177632786877,-0.0018524945448307748,0.17035690398909506,0.14228655589691921,0.06396774235694584,0.0363088628566881,0.002860150474630229,1.0,0.020421872383371318,-0.0019553117175484885,-0.005232863240744732,0.045451388475263796,0.16736749716533378,,-0.15624939331354243,-0.15624939331354243,-0.15624939331354243,-0.02022368438270162,-0.04689483286544927,-0.011615810136122433,-0.042563329135862235,-0.007123766280192895,0.005100850657979117,-0.014846540298547786,-0.006699894500719891,-0.005858986689451076,-0.009556265437703979,0.000585966014161012,-0.1705793508176098,-0.14019565980815155,-0.05915047205819778,0.03446339402096979,-0.003576797062482087,-0.9736012246986713,0.014510097477948168,-0.00030512660389685783,0.0027777560510194354,-0.0466154446931976,-0.17082272204802865,
BLKA,0.01417564053224016,0.012759766735040937,,-0.12256287377272976,0.2268443881495166,-0.29262291932798873,-0.08561929236672663,-0.05287929452248511,-0.07320476774376074,-0.00042194457865451357,0.008140012228952878,-0.021428028489682848,0.18829675850296654,-0.021486119788683172,0.09380816232573479,-0.10257377914386283,0.0033832313705805654,0.020214497313042753,0.020421872383371318,1.0,-0.0028141263958834603,0.0035044888826977713,-0.12596659236768407,-0.17268369299184852,,0.16205946823647638,0.16205946823647638,0.16205946823647638,-0.027510545683544448,0.13545865974326302,-0.23264266754199167,0.29085609421512804,0.10857530564612292,0.08126117567740375,0.07520367233467014,-0.0011800304695525382,-0.009051637076985522,0.022121618391789267,-0.19011561768104268,0.021854890357901564,-0.09169677446073417,0.11028960751406494,0.0032561824546928444,-0.021000288161327017,-0.015856646118588766,0.9810520023050366,-0.0009392495794569264,-0.007030309776998028,0.14551788224345408,0.1741511924802943,
